nama barang,kategori,harga,date,user,varian,rating,review,bantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN White Gold - White Gold, 38",futsal,Rp449.000,2 bulan lalu,T***b,White Gold - 40,bintang 5,sepatu nya bagus sesuai warna&ukuran pengiriman cepat🫶🏻,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN White Gold - White Gold, 38",futsal,Rp449.000,5 bulan lalu,n***a,White Gold - 42,bintang 5,bentuknya sesuai dan nyaman dipakai,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN White Gold - White Gold, 38",futsal,Rp449.000,7 bulan lalu,k***d,White Gold - 44,bintang 5,"Sepatu sampai tepat waktu, ukuran dan warna sesuai dengan pesanan. Memuaskan, terimakasih 🙏🏼",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Ballistic IN White Gold - White Gold, 38",futsal,Rp449.000,2 minggu lalu,I***j,White Gold - 42,bintang 5,Bentuk dan ukuran: pas Warna: baguss,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Black Hole - Black Hole, 37",futsal,Rp549.000,3 minggu lalu,Chandra,Black Hole - 40,bintang 5,ngepas di kaki... semoga awet seperti sepatu yg lalu.,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Black Hole - Black Hole, 37",futsal,Rp549.000,1 minggu lalu,U***t,Black Hole - 41,bintang 5,Mantab,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,1 bulan lalu,Indra,Galaxy White - 40,bintang 5,"Barang bagus, pengiriman tepat waktu dan cepat.",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,3 bulan lalu,K***u,Galaxy White - 38,bintang 5,"Mantap barangnya keren skali,,,ringan pas di kaki",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,7 bulan lalu,T***S,Galaxy White - 39,bintang 4,baguss,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,5 bulan lalu,T***S,Galaxy White - 43,bintang 5,Good,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,2 bulan lalu,K***c,Galaxy White - 42,bintang 5,Sesuai harapan,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,2 bulan lalu,M***w,Galaxy White - 40,bintang 4,sampai dengan selamat,0 orang terbantu
